filename,width,height
0365,1701,2747
0366,1610,2604
0367,1414,2534
0368,1386,2434
0369,1406,2438
0370,1462,2502
0371,1418,2506
0372,1390,2502
0373,1686,2747
0374,1589,2604
0375,1406,2402
0376,1462,2350
0377,1438,2365
0378,1726,2747
0379,1470,2494
0380,1378,2130
0381,1406,2365
0382,1446,2559
0383,1446,2470
0384,1458,2502
0385,1422,1377
0386,1709,2747
0387,1462,2530
0388,1390,2434
0389,1382,2530
0390,1698,2747
0391,1406,2370
0392,1414,2414
0393,1406,2494
0394,1398,2442
0395,1418,2418
0396,1454,2558
0397,1398,2485
0398,1446,2466
0399,1430,2498
0400,1474,2417
0401,1740,2747
0402,1719,2747
0403,1422,1826
0404,1701,2747
0405,1647,2659
0406,1724,2747
0407,1410,2549
0408,1631,2659
0409,1639,2659
0410,521,847
0411,1647,2659
0412,523,845
0413,1639,2659
0414,1639,2659
0415,1017,1631
0416,1709,2747
0417,1719,2747
0418,1712,2747
0419,4042,6412
0420,1728,2747
0421,1702,2747
0422,1695,2747
0423,1740,2747
0424,537,854
0425,1712,2747
0427,1685,2659
0428,1422,2502
0429,1564,2525
0430,516,840
0431,1707,2747
0432,1717,2747
0433,1382,2442
0434,1732,2747
0435,1687,2659
0436,1430,2514
0437,1685,2747
0438,1605,2604
0439,1742,2747
0440,1726,2747
0441,1426,2093
0442,1712,2747
0443,1358,2482
0444,1634,2604
0445,1655,2659
0446,1704,2747
0447,1679,2659
0448,1374,2142
0449,1556,2525
0450,1702,2747
0451,1707,2747
0452,3015,4885
0453,1458,2374
0454,1410,2459
0455,1406,2543
0456,1693,2747
0457,1442,2594
0458,1382,2354
0459,1402,2442
0460,1370,2382
0461,1378,2486
0462,1691,2747
0463,1631,2659
0464,1612,2604
0465,1426,2490
0466,1701,2747
0467,1414,2450
0468,1382,2426
0469,1394,2507
0470,1454,2482
0471,1430,2482
0472,1386,2374
0473,1354,2318
0474,1458,2466
0475,1418,2414
0476,1474,2450
0477,1406,2418
0478,1386,2370
0479,1354,2262
0480,1386,2470
0481,1414,2398
0482,1724,2747
0483,1450,2558
0484,1398,1890
0485,1402,2502
0486,1704,2747
0487,1712,2747
0488,1702,2747
0489,1406,2511
